x,y,z
30.60713078,33.16402765,60.47135797
16.69439498,13.01468505,13.25832282
19.67566354,47.83145534,56.6743077
10.4419826,8.412500626,7.213140541
9.944016709,9.614308608,9.149767261
30.52053668,45.19656882,64.88908688
27.88316505,51.0394849,64.39138674
10.49193535,4.24687882,6.559280314
19.97143171,42.3783882,55.09787084
26.28236996,53.14550497,65.48726782
28.81056337,47.86001621,66.57231718
25.71004284,42.94613373,60.46980563
10.51404175,-6.846299352,2.045187863
3.77853785,-10.44187984,-3.319157546
20.92691997,45.41743313,58.22401621
30.32514278,40.82318518,63.73829631
11.96010877,6.734631467,10.08250623
27.41242199,44.58063926,61.60754661
12.83517385,4.921989786,8.924100869
5.566326535,-3.98734178,-1.668544955
23.73962783,25.7708049,51.58861957
29.77020114,41.35884644,63.62557427
9.951828909,-0.283926247,4.445320137
13.08850689,7.248248167,9.458427964
23.93384677,47.13368246,61.95798433
24.02189507,44.45668526,59.90421238
12.70075509,-2.973189703,4.978006123
30.00607285,43.80290801,63.8952727
23.69724629,44.94811351,60.14031929
24.67921963,47.38400666,60.76940519
9.687690099,10.07871696,10.41674839
12.86733837,8.097598095,10.43713433
36.10375609,58.48630172,74.37864409
30.27556553,48.11123382,66.83133784
8.164571781,-1.178337822,2.489499382
6.552028394,-5.21056426,0.430961491
20.94126098,39.1839054,56.65331088
31.36379083,44.94212725,66.36654572
7.793886651,-1.626056938,4.258795001
10.1469205,7.156749557,6.570596255
18.51689275,11.39205316,14.23435908
13.45862571,5.864748829,8.204250289
11.68453438,10.87898105,11.73827896
28.73605432,48.32936241,64.00606567
9.510203013,5.818338823,7.474259364
5.191020586,-5.391815557,-0.634177245
5.156263562,10.59397123,5.545455472
24.01925195,45.69155006,60.37339031
9.829114414,-7.554886771,1.822990658
26.21323038,45.85866076,60.29163633
8.255918681,17.89958834,9.285547096
9.478013246,2.072568444,4.396799894
2.082419013,1.284350147,-1.12453145
26.19176961,42.77903515,58.59705346
29.96840948,56.69160859,67.36692684
10.48341156,7.601644172,8.192458127
5.473639503,0.265867876,2.697795632
21.94941953,39.80259101,57.26038494
14.57197151,11.17739627,12.98181062
23.35983263,47.83889907,61.5060507
21.3457663,34.95932273,54.04095016
5.436778495,9.254687974,6.088101608
23.97583676,41.11632242,58.76833901
10.38919016,-3.199612265,4.572694159
23.27885475,37.46999359,56.59166321
11.22635914,8.970021938,7.95805674
25.69437779,43.39292563,62.48096159
12.17131154,6.481888556,8.856279482
23.93108763,35.3362533,56.9503509
13.10129754,5.522703486,8.988679932
10.32575593,-2.115137203,3.332015931
6.15514015,1.727251516,5.055676202
27.60503102,46.44621255,64.0987165
31.92664833,43.05986902,63.56991833
24.77953178,46.14929039,62.15437729
13.6173953,-4.838132147,5.058665666
27.62040854,43.66611295,61.9913857
14.16214261,10.29519287,13.19775724
27.82559539,45.25633901,65.18176486
14.80982764,11.16838528,12.69576198
29.75260443,45.3395189,65.39511837
30.1504386,46.99912471,64.87539721
10.39240026,0.033821827,4.158955663
8.761314831,-0.840420803,3.72545467
34.21972242,50.6956687,69.56726602
34.04263127,44.21516878,64.13601012
6.698043287,-4.711576308,0.676984195
34.64968199,54.71442671,70.83768722
28.69318703,47.43996988,64.29854864
28.01755413,37.25976741,59.49841171
13.87038724,4.484088022,8.969610409
31.64606738,55.84072105,70.13753762
30.31356216,49.22816962,66.94772873
1.536268942,-8.340221936,-4.454117228
8.733183083,-0.167408537,3.959692049
4.939047779,5.968816235,5.207767152
30.81065332,52.85035418,66.93340236
35.87079033,48.8109188,68.54706945
9.663629888,4.995455256,7.419602603
26.55798895,49.44505588,62.30788266
13.45869962,6.943354195,9.103254074
11.09767664,2.449461585,6.292312134
31.03900344,38.60937258,61.53755851
27.15670462,55.01755491,64.92695811
4.509133341,-6.544295531,-1.283364928
27.7156688,38.32103347,59.86486176
28.36429588,46.52056285,64.60322616
26.76510223,45.93683058,64.03427088
27.3307633,39.3930163,59.89090409
10.64542021,-2.532067211,4.398632869
7.517937101,6.868316229,6.508618776
28.0533167,41.38258343,60.81560597
12.7908485,-0.46068936,6.575397154
29.19115332,39.61113362,60.33726994
8.562061853,4.729327228,6.962805255
14.1973062,6.285316633,7.852645798
7.450221706,2.718910937,2.721947868
38.10363239,42.77833708,69.29686753
23.9314795,50.47588304,63.28297761
30.60299147,49.62889686,66.48574507
31.44118159,40.44710859,63.74420526
33.36225489,58.98219934,72.24676353
24.85156144,40.4378013,60.14940356
11.41561786,6.505981343,8.508242146
10.77624778,8.541878636,9.621465095
5.680063163,-0.248932983,1.7886362
11.82181534,1.603855806,7.212193768
26.87295144,43.86872543,63.65306359
18.17389412,45.26140052,57.53775846
37.37620576,50.23615069,72.1802442
10.4236817,-0.245601622,2.611658677
10.08286738,7.568600532,9.926991654
35.3323597,44.2928835,67.18122209
21.11469807,39.97068084,57.44881151
33.54222096,46.02142776,66.85165908
29.52940677,42.1256825,61.26287115
9.141806708,12.7904841,9.675244143
15.00933301,8.883306829,12.51523694
22.48736089,39.05990608,57.6388796
25.89371028,34.6030243,57.25696885
24.76387905,45.09231018,60.07807249
25.37221021,35.41977544,58.32541809
34.97315514,44.64115907,68.01988908
12.86702469,2.261809937,8.735108706
23.75126477,40.88673876,58.71687194
35.32745701,53.6537099,71.21171318
30.14885836,47.56868008,64.33839827
27.19019082,41.95747678,61.82004347
26.5906128,52.47930754,64.85092142
14.16693871,0.674581888,6.582540063
27.78020153,44.36820222,63.09786348
7.272447217,-5.168543964,1.295781995
8.830688144,-6.356222632,0.116615913
28.62665147,43.97486175,62.05591772
2.644542776,-2.700643979,-1.496461708
7.639157566,4.387693781,3.021804566
33.21948058,53.90624199,71.27981096
32.6511768,40.03562368,64.81818512
7.846167464,0.132280034,3.997134534
-0.859463985,-2.113391591,-5.339841002
34.22110514,43.71044376,65.87848795
12.40306647,-10.27892661,1.369218848
27.24861,38.28435329,60.26879806
27.95426423,45.75213439,63.98943681
6.622816689,0.02205607,3.56147154
33.60750305,50.95549062,67.58470571
20.01804243,37.56394799,54.20480276
33.32808542,45.80495758,67.09380313
10.95632221,7.260482459,8.153607936
34.55081056,38.43727369,65.15583635
10.70802469,3.4310793,5.742280597
24.12454366,42.39529272,59.00273571
33.56194743,42.44568395,65.35331234
25.90342579,43.71870674,61.73657714
1.369543904,-8.077930565,-3.727711102
24.98230179,44.00792564,61.33999287
10.65347598,2.033278704,8.241143987
5.93844094,6.035003623,5.626855627
29.45365582,39.76358506,61.14266152
25.50568373,46.65478996,64.10194143
27.48464813,31.3488966,54.92852285
10.05275588,9.751027516,9.659989077
26.10813993,38.85569581,59.98568408
33.09121748,52.43838866,70.16493718
31.40023765,47.17748625,67.30888832
24.80944999,49.62767093,60.45616356
31.00061445,55.04388412,70.70182402
30.43412818,45.79214674,64.61393842
5.102360521,-2.432356752,0.376548081
29.29858912,35.73498709,56.485353
7.920505551,3.046537669,5.33308974
25.46795553,38.78162982,59.09091749
30.7018704,48.9292897,66.80101453
25.00393187,40.29896111,58.39719071
4.405750734,-0.295876307,-1.794922721
26.99724768,39.35211648,58.53075364
3.395096957,9.66776906,4.594151572
2.758549025,-7.872662882,-4.105498172
30.19015304,38.90571128,61.60243047
13.38275069,-4.352336192,4.007985745
13.77584451,-1.469454217,7.078157548
14.78598674,9.743814514,12.13747584
29.31294629,45.76594023,65.79056331
25.24537915,37.75830633,57.46281378
19.19221062,39.38280628,55.36761699
27.01971922,48.93279444,61.46125541
30.74235377,40.83882032,62.2662478
27.36033204,49.27702391,64.20357694
28.78785585,52.4962412,67.28564498
21.62691893,38.96692,55.9105165
26.79523566,44.98733543,62.44062261
26.04706121,41.00663793,60.05514867
30.69524646,40.17165352,63.26017373
5.133571784,6.216149784,5.047152865
8.011504072,-3.731813576,1.274102689
22.44511152,43.54110558,58.69315422
30.18310132,45.76366108,64.53384811
11.03723138,-4.817997584,4.144699479
